date,Covid,cough+covid,symptoms+covid
2016-08-21,0.0,1.0,5.0
2016-08-28,0.0,1.0,5.0
2016-09-04,0.0,1.0,5.0
2016-09-11,0.0,1.0,5.0
2016-09-18,0.0,1.0,5.0
2016-09-25,0.0,1.0,5.0
2016-10-02,0.0,1.0,5.0
2016-10-09,0.0,1.0,5.0
2016-10-16,0.0,1.0,5.0
2016-10-23,0.0,1.0,5.0
2016-10-30,0.0,1.0,5.0
2016-11-06,0.0,1.0,4.0
2016-11-13,0.0,1.0,5.0
2016-11-20,0.0,1.0,4.0
2016-11-27,0.0,1.0,5.0
2016-12-04,0.0,1.0,5.0
2016-12-11,0.0,1.0,5.0
2016-12-18,0.0,1.0,4.0
2016-12-25,0.0,1.0,5.0
2017-01-01,0.0,1.0,5.0
2017-01-08,0.0,1.0,5.0
2017-01-15,0.0,1.0,5.0
2017-01-22,0.0,1.0,5.0
2017-01-29,0.0,1.0,5.0
2017-02-05,0.0,1.0,5.0
2017-02-12,0.0,1.0,5.0
2017-02-19,0.0,1.0,5.0
2017-02-26,0.0,1.0,5.0
2017-03-05,0.0,1.0,5.0
2017-03-12,0.0,1.0,5.0
2017-03-19,0.0,1.0,5.0
2017-03-26,0.0,1.0,5.0
2017-04-02,0.0,1.0,5.0
2017-04-09,0.0,1.0,5.0
2017-04-16,0.0,1.0,5.0
2017-04-23,0.0,1.0,5.0
2017-04-30,0.0,1.0,5.0
2017-05-07,0.0,1.0,5.0
2017-05-14,0.0,1.0,5.0
2017-05-21,0.0,1.0,5.0
2017-05-28,0.0,1.0,5.0
2017-06-04,0.0,1.0,5.0
2017-06-11,0.0,1.0,5.0
2017-06-18,0.0,1.0,5.0
2017-06-25,0.0,1.0,5.0
2017-07-02,0.0,1.0,5.0
2017-07-09,0.0,1.0,5.0
2017-07-16,0.0,1.0,5.0
2017-07-23,0.0,1.0,5.0
2017-07-30,0.0,1.0,5.0
2017-08-06,0.0,1.0,5.0
2017-08-13,0.0,1.0,5.0
2017-08-20,0.0,1.0,5.0
2017-08-27,0.0,1.0,5.0
2017-09-03,0.0,1.0,5.0
2017-09-10,0.0,1.0,5.0
2017-09-17,0.0,1.0,5.0
2017-09-24,0.0,1.0,5.0
