date,stock+price,stock+index,futures+stock
2016-08-14,33.0,9.0,6.0
2016-08-21,35.0,9.0,7.0
2016-08-28,35.0,9.0,7.0
2016-09-04,38.0,9.0,6.0
2016-09-11,36.0,9.0,7.0
2016-09-18,36.0,9.0,7.0
2016-09-25,36.0,10.0,7.0
2016-10-02,37.0,9.0,7.0
2016-10-09,36.0,10.0,7.0
2016-10-16,36.0,10.0,7.0
2016-10-23,36.0,10.0,7.0
2016-10-30,35.0,10.0,7.0
2016-11-06,39.0,14.0,12.0
2016-11-13,36.0,11.0,9.0
2016-11-20,37.0,10.0,7.0
2016-11-27,36.0,10.0,8.0
2016-12-04,38.0,11.0,8.0
2016-12-11,37.0,11.0,8.0
2016-12-18,38.0,10.0,8.0
2016-12-25,36.0,9.0,7.0
2017-01-01,37.0,10.0,7.0
2017-01-08,37.0,11.0,8.0
2017-01-15,36.0,10.0,7.0
2017-01-22,37.0,11.0,8.0
2017-01-29,37.0,12.0,9.0
2017-02-05,37.0,11.0,8.0
2017-02-12,36.0,12.0,9.0
2017-02-19,37.0,11.0,8.0
2017-02-26,40.0,13.0,10.0
2017-03-05,37.0,12.0,9.0
2017-03-12,37.0,11.0,8.0
2017-03-19,38.0,11.0,8.0
2017-03-26,40.0,12.0,9.0
2017-04-02,37.0,11.0,8.0
2017-04-09,39.0,12.0,10.0
2017-04-16,36.0,11.0,8.0
2017-04-23,38.0,12.0,9.0
2017-04-30,38.0,12.0,9.0
2017-05-07,37.0,11.0,9.0
2017-05-14,38.0,12.0,9.0
2017-05-21,39.0,10.0,8.0
2017-05-28,36.0,10.0,7.0
2017-06-04,39.0,11.0,8.0
2017-06-11,42.0,11.0,9.0
2017-06-18,40.0,11.0,8.0
2017-06-25,40.0,11.0,8.0
2017-07-02,41.0,10.0,7.0
2017-07-09,43.0,11.0,8.0
2017-07-16,42.0,11.0,8.0
2017-07-23,40.0,12.0,9.0
2017-07-30,43.0,12.0,9.0
2017-08-06,40.0,12.0,9.0
2017-08-13,40.0,11.0,8.0
2017-08-20,39.0,10.0,8.0
2017-08-27,40.0,10.0,8.0
2017-09-03,39.0,10.0,7.0
2017-09-10,44.0,11.0,8.0
2017-09-17,42.0,12.0,9.0
2017-09-24,43.0,11.0,8.0
2017-10-01,45.0,13.0,10.0
2017-10-08,45.0,12.0,9.0
2017-10-15,42.0,12.0,9.0
2017-10-22,43.0,12.0,9.0
2017-10-29,45.0,13.0,10.0
2017-11-05,45.0,13.0,10.0
2017-11-12,46.0,13.0,10.0
2017-11-19,45.0,11.0,8.0
2017-11-26,48.0,13.0,10.0
2017-12-03,53.0,13.0,10.0
2017-12-10,51.0,13.0,10.0
2017-12-17,53.0,13.0,10.0
2017-12-24,51.0,11.0,9.0
2017-12-31,51.0,13.0,10.0
2018-01-07,50.0,14.0,11.0
2018-01-14,50.0,14.0,11.0
2018-01-21,48.0,14.0,11.0
2018-01-28,49.0,15.0,12.0
2018-02-04,55.0,19.0,16.0
2018-02-11,47.0,14.0,11.0
2018-02-18,45.0,13.0,10.0
2018-02-25,43.0,14.0,11.0
2018-03-04,46.0,14.0,11.0
2018-03-11,44.0,13.0,10.0
2018-03-18,45.0,14.0,11.0
2018-03-25,46.0,14.0,11.0
2018-04-01,47.0,14.0,11.0
2018-04-08,44.0,14.0,10.0
2018-04-15,44.0,13.0,10.0
2018-04-22,45.0,13.0,10.0
2018-04-29,46.0,12.0,10.0
2018-05-06,44.0,13.0,10.0
2018-05-13,45.0,12.0,9.0
2018-05-20,47.0,12.0,9.0
2018-05-27,47.0,11.0,8.0
2018-06-03,44.0,12.0,9.0
2018-06-10,44.0,13.0,9.0
2018-06-17,44.0,13.0,10.0
2018-06-24,46.0,13.0,9.0
2018-07-01,42.0,11.0,8.0
2018-07-08,47.0,12.0,9.0
2018-07-15,47.0,12.0,9.0
2018-07-22,52.0,15.0,12.0
2018-07-29,48.0,14.0,11.0
2018-08-05,49.0,13.0,10.0
2018-08-12,48.0,14.0,10.0
2018-08-19,47.0,14.0,10.0
2018-08-26,48.0,14.0,11.0
2018-09-02,51.0,15.0,12.0
2018-09-09,49.0,15.0,11.0
2018-09-16,50.0,15.0,11.0
2018-09-23,47.0,14.0,11.0
2018-09-30,51.0,15.0,12.0
2018-10-07,53.0,16.0,12.0
2018-10-14,48.0,15.0,11.0
2018-10-21,52.0,15.0,12.0
