epoch;loss;mse;val_loss;val_mse
0;354.9290466308594;354.9290466308594;1273.835205078125;1273.835205078125
1;291.6092224121094;291.6092224121094;1173.0966796875;1173.0966796875
2;274.1795959472656;274.1795959472656;1113.412353515625;1113.412353515625
3;263.4969787597656;263.4969787597656;1069.3115234375;1069.3115234375
4;256.00958251953125;256.00958251953125;1032.044189453125;1032.044189453125
5;250.46917724609375;250.46917724609375;1000.689208984375;1000.689208984375
6;246.2740020751953;246.2740020751953;975.7823486328125;975.7823486328125
7;243.06781005859375;243.06781005859375;953.1846313476562;953.1846313476562
8;240.51412963867188;240.51412963867188;932.4700927734375;932.4700927734375
9;238.55812072753906;238.55812072753906;915.6525268554688;915.6525268554688
